😀  grinning (grinning face)
🔉  speaker with one sound wave
🔊  loud (speaker with three sound waves)
🔋  battery
🔌  electric plug
🔍  magnifying glass (left-pointing magnifying glass)
🔎  search (right-pointing magnifying glass)
🔏  lock with ink pen
🔐  closed lock with key
🔑  key (key)
🔒  locked (lock)
🔓  unlocked (open lock)
🔔  bell (bell)
🔕  muted bell (bell with cancellation stroke)
🔖  bookmark
🔗  link symbol
🔘  radio button
🔙  back with leftwards arrow above
🔚  end with leftwards arrow above
🔛  on with exclamation mark with left right arrow above
🔜  soon with rightwards arrow above
🔝  top with upwards arrow above
🔞  no one under eighteen symbol
🔟  keycap ten
🔠  input symbol for latin capital letters
🔡  input symbol for latin small letters
🔢  input symbol for numbers
🔣  input symbol for symbols
🔤  input symbol for latin letters
🔥  fire (fire)
🔦  electric torch
🔧  wrench
🔨  hammer
🔩  nut and bolt
🔪  hocho
🔫  pistol
🔬  microscope
🔭  telescope
🔮  crystal ball
🔯  six pointed star with middle dot
🔰  japanese symbol for beginner
🔱  trident emblem
🔲  black square button
🔳  white square button
🔴  red circle (large red circle)
🔵  large blue circle
🔶  large orange diamond
🔷  large blue diamond
🔸  small orange diamond
🔹  small blue diamond
🔺  up-pointing red triangle
🔻  down-pointing red triangle
🔼  up-pointing small red triangle
🔽  down-pointing small red triangle
🔾  lower right shadowed white circle
🔿  upper right shadowed white circle
🕀  circled cross pommee
🕁  cross pommee with half-circle below
🕂  cross pommee
🕃  notched left semicircle with three dots
🕄  notched right semicircle with three dots
🕅  symbol for marks chapter
🕆  white latin cross
🕇  heavy latin cross
🕈  celtic cross
🕉  om symbol
🕊  dove (dove of peace)
🕋  kaaba
🕌  mosque
🕍  synagogue
🕎  menorah with nine branches
🕏  bowl of hygieia
🕐  clock face one oclock
🕑  clock face two oclock
🕒  clock face three oclock
🕓  clock face four oclock
🕔  clock face five oclock
🕕  clock face six oclock
🕖  clock face seven oclock
🕗  clock face eight oclock
🕘  clock face nine oclock
🕙  clock face ten oclock
🕚  clock face eleven oclock
🕛  clock face twelve oclock
🕜  clock face one-thirty
🕝  clock face two-thirty
🕞  clock face three-thirty
🕟  clock face four-thirty
🕠  clock face five-thirty
🕡  clock face six-thirty
🕢  clock face seven-thirty
🕣  clock face eight-thirty
🕤  clock face nine-thirty
🕥  clock face ten-thirty
🕦  clock face eleven-thirty
🕧  clock face twelve-thirty
🕨  right speaker
🕩  right speaker with one sound wave
🕪  right speaker with three sound waves
🕫  bullhorn
🕬  bullhorn with sound waves
🕭  ringing bell
🕮  book
🕯  candle
🕰  mantelpiece clock
🕱  black skull and crossbones
🕲  no piracy
🕳  hole
🕴  man in business suit levitating
🕵  sleuth or spy
🕶  dark sunglasses
🕷  spider (spider)
🕸  spider web
🕹  joystick (joystick)
🕺  dancing man (man dancing)
🕻  left hand telephone receiver
🕼  telephone receiver with page
🕽  right hand telephone receiver
🕾  white touchtone telephone
🕿  black touchtone telephone
🖀  telephone on top of modem
🖁  clamshell mobile phone
🖂  back of envelope
🖃  stamped envelope
🖄  envelope with lightning
🖅  flying envelope
🖆  pen over stamped envelope
🖇  linked paperclips
🖈  black pushpin
🖉  lower left pencil
🖊  lower left ballpoint pen
🖋  lower left fountain pen
🖌  lower left paintbrush
🖍  lower left crayon
🖎  left writing hand
🖏  turned ok hand sign
🖐  splayed hand (raised hand with fingers splayed)
🖑  reversed raised hand with fingers splayed
🖒  reversed thumbs up sign
🖓  reversed thumbs down sign
🖔  reversed victory hand
🖕  middle finger (reversed hand with middle finger extended)
🖖  vulcan (raised hand with part between middle and ring fingers)
🖗  white down pointing left hand index
🖘  sideways white left pointing index
🖙  sideways white right pointing index
🖚  sideways black left pointing index
🖛  sideways black right pointing index
🖜  black left pointing backhand index
🖝  black right pointing backhand index
🖞  sideways white up pointing index
🖟  sideways white down pointing index
🖠  sideways black up pointing index
🖡  sideways black down pointing index
🖢  black up pointing backhand index
🖣  black down pointing backhand index
🖤  black heart (black heart)
🖥  desktop (desktop computer)
🖦  keyboard and mouse
🖧  three networked computers
🖨  printer
🖩  pocket calculator
🖪  black hard shell floppy disk
🖫  white hard shell floppy disk
🖬  soft shell floppy disk
🖭  tape cartridge
🖮  wired keyboard
🖯  one button mouse
🖰  two button mouse
🖱  three button mouse
🖲  trackball
🖳  old personal computer
🖴  hard disk
🖵  screen
🖶  printer icon
🖷  fax icon
🖸  optical disc icon
🖹  document with text
🖺  document with text and picture
🖻  document with picture
🖼  frame with picture
🖽  frame with tiles
🖾  frame with an x
🖿  black folder
🗀  folder
🗁  open folder
🗂  card index dividers
🗃  card file box
🗄  file cabinet
🗅  empty note
🗆  empty note page
🗇  empty note pad
🗈  note
🗉  note page
🗊  note pad
🗋  empty document
🗌  empty page
🗍  empty pages
🗎  document
🗏  page
🗐  pages
🗑  wastebasket
🗒  spiral note pad
🗓  spiral calendar pad
🗔  desktop window
🗕  minimize
🗖  maximize
🗗  overlap
🗘  clockwise right and left semicircle arrows
🗙  cancellation x
🗚  increase font size symbol
🗛  decrease font size symbol
🗜  compression
🗝  old key
🗞  rolled-up newspaper
🗟  page with circled text
🗠  stock chart
🗡  dagger knife
🗢  lips
🗣  speaking head in silhouette
🗤  three rays above
🗥  three rays below
🗦  three rays left
